                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.83786,                0.75923,                 1.1284,                0.86245,                   0.95,                0.97714,                0.75721,                0.86328,                0.63046,                 1.2461,              0.0093268,              0.0093268,              0.0093268
                     36,                0.85489,                0.63522,                 1.1573,                0.86245,                   0.95,                0.97714,                0.75721,                0.86328,                0.63046,                 1.2461,               0.009307,               0.009307,               0.009307
                     37,                0.82131,                0.62294,                 1.1386,                0.82456,                   0.95,                0.88683,                0.71732,                0.69494,                0.75164,                 1.0801,              0.0092872,              0.0092872,              0.0092872
                     38,                0.77332,                0.57419,                 1.1368,                0.90307,                   0.95,                0.91357,                0.74259,                0.78397,                0.69753,                 1.1472,              0.0092674,              0.0092674,              0.0092674
                     39,                0.70939,                0.47376,                 1.0385,                0.90195,                      1,                0.98136,                0.79158,                 0.7379,                0.60178,                 1.0912,              0.0092476,              0.0092476,              0.0092476
                     40,                0.77556,                0.52665,                 1.0839,                0.90195,                      1,                0.98136,                0.79158,                 0.7379,                0.60178,                 1.0912,              0.0092278,              0.0092278,              0.0092278
                     41,                0.79381,                0.52708,                 1.1058,                0.90326,                      1,                0.97538,                0.75637,                0.92551,                0.68159,                  1.242,               0.009208,               0.009208,               0.009208
                     42,                0.75414,                0.52409,                 1.0868,                 0.8108,                    0.9,                0.86179,                0.63208,                0.99943,                0.80217,                 1.2741,              0.0091882,              0.0091882,              0.0091882
                     43,                0.73636,                0.46973,                 1.0825,                0.89412,                0.84472,                0.90929,                0.65042,                 1.1645,                 0.9062,                 1.7857,              0.0091684,              0.0091684,              0.0091684
                     44,                0.88114,                0.49991,                 1.1728,                0.89412,                0.84472,                0.90929,                0.65042,                 1.1645,                 0.9062,                 1.7857,              0.0091486,              0.0091486,              0.0091486
                     45,                0.87754,                0.59147,                 1.1699,                0.89991,                    0.9,                0.93277,                0.69726,                0.94333,                0.82491,                 1.4723,              0.0091288,              0.0091288,              0.0091288
                     46,                0.71279,                0.53834,                 1.0613,                0.78187,                    0.9,                0.89428,                0.61869,                 1.0099,                 1.5107,                 1.6953,               0.009109,               0.009109,               0.009109
                     47,                0.84551,                0.60173,                 1.1456,                0.65752,                    0.8,                0.82349,                0.54926,                 1.0722,                 1.8564,                  1.611,              0.0090892,              0.0090892,              0.0090892
                     48,                0.80694,                0.50456,                  1.127,                0.65752,                    0.8,                0.82349,                0.54926,                 1.0722,                 1.8564,                  1.611,              0.0090694,              0.0090694,              0.0090694
                     49,                0.80629,                0.48422,                 1.1426,                0.95889,                   0.65,                0.79104,                0.54977,                 1.3003,                 1.4748,                 1.8445,              0.0090496,              0.0090496,              0.0090496
                     50,                0.77309,                0.47539,                 1.1506,                0.88897,                    0.9,                0.93633,                0.63812,                 1.2667,                0.82892,                 2.0762,              0.0090298,              0.0090298,              0.0090298
                     51,                0.77627,                0.52333,                 1.1436,                0.80854,                0.84482,                0.84819,                0.58807,                 1.2753,                0.75875,                 2.1672,                0.00901,                0.00901,                0.00901
                     52,                0.74514,                 0.5727,                 1.0955,                0.80854,                0.84482,                0.84819,                0.58807,                 1.2753,                0.75875,                 2.1672,              0.0089902,              0.0089902,              0.0089902
                     53,                0.74776,                 0.5171,                 1.1173,                0.71875,                0.89465,                0.87919,                0.56429,                 1.3043,                 0.9685,                 2.2729,              0.0089704,              0.0089704,              0.0089704
                     54,                0.83889,                0.59046,                 1.2049,                0.75609,                0.62069,                0.76759,                0.50093,                 1.3403,                 1.8066,                 2.1724,              0.0089506,              0.0089506,              0.0089506
                     55,                0.74663,                0.52481,                 1.1282,                0.87899,                   0.75,                0.83102,                0.61322,                 1.1323,                 1.4415,                 1.7974,              0.0089308,              0.0089308,              0.0089308
                     56,                0.71386,                0.46984,                 1.1277,                0.87899,                   0.75,                0.83102,                0.61322,                 1.1323,                 1.4415,                 1.7974,               0.008911,               0.008911,               0.008911
                     57,                0.80467,                0.53081,                 1.1451,                0.81688,                    0.9,                0.90957,                 0.6342,                 1.1134,                  1.243,                 1.7286,              0.0088912,              0.0088912,              0.0088912
                     58,                0.83011,                0.55306,                 1.1408,                0.93078,                0.67322,                0.86951,                0.61896,                 1.0766,                 1.3435,                 1.8264,              0.0088714,              0.0088714,              0.0088714
                     59,                0.86269,                0.55124,                 1.1922,                0.80087,                0.80454,                0.90565,                 0.6299,                 1.0718,                 1.4199,                 1.8741,              0.0088516,              0.0088516,              0.0088516
                     60,                0.82823,                0.54477,                 1.1482,                0.80087,                0.80454,                0.90565,                 0.6299,                 1.0718,                 1.4199,                 1.8741,              0.0088318,              0.0088318,              0.0088318
                     61,                 0.7915,                0.56329,                 1.1172,                0.88744,                   0.95,                0.96028,                0.69032,                0.96766,                 1.7556,                 1.6477,               0.008812,               0.008812,               0.008812
                     62,                0.78706,                0.58511,                 1.1592,                0.85931,                    0.8,                0.88852,                0.64182,                 1.0813,                 2.2391,                 1.7031,              0.0087922,              0.0087922,              0.0087922
                     63,                 0.7417,                0.53605,                 1.1155,                0.82366,                    0.9,                 0.9663,                0.67321,                0.99506,                 1.0038,                 1.5186,              0.0087724,              0.0087724,              0.0087724
                     64,                0.75823,                0.55456,                 1.1118,                0.82366,                    0.9,                 0.9663,                0.67321,                0.99506,                 1.0038,                 1.5186,              0.0087526,              0.0087526,              0.0087526
                     65,                  0.749,                0.50748,                  1.095,                0.93988,                0.78238,                0.92366,                0.67289,                0.88044,                 1.7616,                 1.3939,              0.0087328,              0.0087328,              0.0087328
                     66,                0.69186,                0.54899,                 1.0866,                0.90646,                 0.9696,                0.98065,                0.66618,                  0.873,                0.89004,                 1.4532,               0.008713,               0.008713,               0.008713
                     67,                0.73746,                0.49659,                 1.0743,                0.81133,                   0.95,                0.95076,                0.67488,                0.95714,                 1.1641,                 1.6368,              0.0086932,              0.0086932,              0.0086932
                     68,                 0.7838,                0.55761,                 1.1095,                0.81133,                   0.95,                0.95076,                0.67488,                0.95714,                 1.1641,                 1.6368,              0.0086734,              0.0086734,              0.0086734
                     69,                0.76488,                 0.5179,                 1.1183,                0.80712,                0.83738,                0.89237,                0.58673,                 1.1415,                 1.3301,                 1.8606,              0.0086536,              0.0086536,              0.0086536
                     70,                0.78777,                0.58144,                 1.1724,                0.94806,                0.91307,                0.97704,                0.72447,                0.93641,                0.95844,                 1.6161,              0.0086338,              0.0086338,              0.0086338
